Location Name Key,Latitude,Longitute
"Ashland, NE, USA",41.036140,-96.360940
Australia,-25.274399,133.775131
"Bavaria, Germany",48.917431,11.407980
"Cruise Ship, Others",25.695980,32.645649
"External territories, Australia",-10.484470,105.637100
"From Diamond Princess, Israel",32.089556,34.797614
Ivory Coast,-22.497511,17.015369
"Jervis Bay Territory, Australia",-35.140020,150.728240
"Nashua, NH, USA",42.757870,-71.463951
"None, Austria",47.516232,14.550072
"None, Iraq",33.223190,43.679291
"None, Lebanon",33.854721,35.862286
North Ireland,54.597271,-5.930110
"Out-of-state, TN, USA",36.162663,-86.781601
"Plymonth, MA, USA",41.955750,-70.664390
"Sterling, AK, USA",60.537470,-150.765050
"Travis, CA, USA",38.291790,-121.921097
"Unknown, TN, USA",36.162663,-86.781601
